Area Code (FAO),Year,population,yield,harvested,Value
16,1962,53461.661,6753,58680.0,39624.0
16,1963,55094.115,6069,73654.0,44704.0
16,1964,56774.465,6011,57466.0,34544.0
16,1965,58500.159,6467,53419.0,34544.0
16,1966,60265.259,6473,55000.0,35600.0
16,1967,62104.488,7926,68000.0,53900.0
16,1968,63995.652,7580,77700.0,58900.0
16,1969,65866.908,7964,117400.0,93500.0
16,1970,67541.86,8740,119800.0,104700.0
16,1971,68376.204,8880,125900.0,111800.0
16,1972,69346.705,9038,127259.0,115012.0
16,1973,71144.818,7572,120132.0,90963.0
16,1974,72947.807,8987,123437.0,110929.0
16,1975,74700.345,9260,126037.0,116714.0
16,1976,76380.08,14535,150102.0,218174.0
16,1977,78137.788,16211,160047.0,259456.0
16,1978,80007.55,18419,188938.0,347997.0
16,1979,81908.151,18660,264753.0,494031.0
16,1980,83929.765,18990,433221.0,822706.0
16,1981,86154.836,18479,591216.0,1092513.0
16,1982,88555.336,18114,534068.0,967389.0
16,1983,91045.478,21090,519385.0,1095370.0
16,1984,93534.239,23021,526097.0,1211132.0
16,1985,95959.099,21647,676125.0,1463630.0
16,1986,98271.746,19282,540310.0,1041825.0
16,1987,100490.256,18657,584766.0,1090990.0
16,1988,102688.833,17542,597422.0,1048015.0
16,1989,104893.674,18246,560096.0,1021950.0
16,1990,107147.651,15034,592000.0,890000.0
16,1991,109242.834,16767,598955.0,1004290.0
16,1992,111272.102,18534,574650.0,1065050.0
16,1993,113418.757,18457,636947.0,1175630.0
16,1994,115614.891,18390,615000.0,1131000.0
16,1995,117793.338,19483,639000.0,1244990.0
16,1996,119876.868,19531,701000.0,1369130.0
16,1997,122039.226,20544,707802.0,1454100.0
16,1998,124350.471,22408,804523.0,1802815.0
16,1999,126754.824,21627,882224.0,1908000.0
16,2000,129193.327,22104,832447.0,1840000.0
16,2001,131670.484,21643,773000.0,1673000.0
16,2002,134139.826,21644,742000.0,1606000.0
16,2003,136503.206,21327,706475.0,1506710.0
16,2004,138789.725,19527,641875.0,1253380.0
16,2005,140912.59,17478,558413.0,975985.0
16,2006,142628.831,15344,479000.0,735000.0
16,2007,144135.934,18471,399000.0,737000.0
16,2008,145421.318,21753,388000.0,844000.0
16,2009,146706.81,21516,394612.0,849046.0
16,2010,148391.139,23959,376256.0,901490.0
16,2011,150211.005,26012,373708.0,972085.0
16,2012,152090.649,27789,358181.0,995356.0
16,2013,154030.139,30138,416416.0,1255000.0
16,2014,155961.299,30319,429770.0,1303000.0
16,2015,157830.0,30860,436814.0,1348000.0
16,2016,159784.568,30310,444805.0,1348186.0
16,2017,161793.964,31576,415339.0,1311473.0
16,2018,163683.958,31302,351213.0,1099373.0
16,2019,165516.222,30780,330348.0,1016811.0
16,2020,167420.951,30970,332254.0,1029000.0
57,1992,10475.907,27983,118000.0,330200.0
57,1993,10480.484,26826,132000.0,354100.0
57,1994,10475.395,22802,101000.0,230300.0
57,1995,10461.696,24791,177000.0,438800.0
57,1996,10436.459,21989,273000.0,600300.0
57,1997,10400.924,25132,296000.0,743900.0
57,1998,10357.466,21347,369000.0,787700.0
57,1999,10308.283,17322,410700.0,711400.0
57,2000,10256.483,21367,452000.0,965800.0
57,2001,10201.209,21255,408000.0,867200.0
57,2002,10135.388,26919,377800.0,1017000.0
57,2003,10065.878,25082,317192.0,795594.0
57,2004,9999.712,33040,339254.0,1120912.0
57,2005,9935.163,32812,358030.0,1174763.0
57,2006,9874.7,28191,381417.0,1075238.0
57,2007,9825.986,32771,426161.0,1396553.0
57,2008,9787.826,39752,514498.0,2045237.0
57,2009,9757.708,35428,558604.0,1979000.0
57,2010,9731.427,28851,602788.0,1739110.0
57,2011,9706.981,33088,644463.0,2132369.0
57,2012,9693.749,35822,712858.0,2553570.0
57,2013,9691.137,30610,686430.0,2101183.0
57,2014,9693.739,39424,741946.0,2925079.0
57,2015,9700.609,39623,730997.0,2896411.0
57,2016,9708.11,32938,710379.0,2339829.0
57,2017,9707.876,36540,717081.0,2620230.0
57,2018,9695.574,27496,660001.0,1814765.0
57,2019,9673.971,33274,693831.0,2308660.0
57,2020,9633.74,39413,722711.0,2848391.0
255,2000,10264.343,79198,213100.0,1687700.0
255,2001,10309.255,80475,181100.0,1457400.0
255,2002,10355.568,82757,202400.0,1675000.0
255,2003,10402.55,85786,191216.0,1640364.0
255,2004,10456.163,89806,213035.0,1913177.0
255,2005,10516.978,82733,213748.0,1768410.0
255,2006,10582.975,82549,201330.0,1661958.0
255,2007,10653.697,78908,199897.0,1577342.0
255,2008,10726.716,87585,211270.0,1850406.0
